Date,Close,Volume,20ma,50ma,200ma,cross,triple cross,Upper_BB,Lower_BB,Distance_from_Middle,Above_upperbb,Below_lowerbb,RSI_14d,RSI_21d,RSI_Above_70,RSI_Below_30,MACD_cross_above,MACD_cross_below,1m_return_diff_QQQ_IWM,1m_return_diff_QQQ_DIA,high_volumn,Consecutive_Up_Days,Consecutive_Down_Days,Future1M_movement_direction,Future2M_movement_direction,Future15d_movement_direction
2023-03-02,293.6099853515625,53565900,300.5595001220703,286.27419921875,290.0517997741699,No Cross,No Cross,313.57258914147155,287.546411102669,-1.068080723976719,0,0,40.26535967345785,49.377842812445245,0,0,0,0,2.90228101139014,6.420537571421148,0,1,0,1,1,1
2023-03-03,299.67999267578125,60511500,299.9574996948242,286.87279907226565,290.0579997253418,No Cross,No Cross,311.8635880618384,288.05141132781,-0.04661598511426979,0,0,49.9780198277237,49.23398740913816,0,0,0,0,3.7184729975061837,7.832359672446176,1,2,0,1,1,1
2023-03-06,300.0199890136719,56736300,299.6494995117188,287.48239868164063,290.02724960327146,No Cross,No Cross,311.1909412690147,288.1080577544229,0.06420159798820603,0,0,44.54720977275986,41.69976202517614,0,0,0,0,4.1561907150421185,5.831455431965726,1,3,0,1,1,1
2023-03-07,296.3399963378906,65955800,299.28699951171876,287.9401983642578,290.0532495117188,No Cross,No Cross,310.76256018598366,287.81143883745386,-0.5136138019708415,0,0,37.75581187494032,42.83007766376301,0,0,0,0,2.991722590515411,4.725514198072167,1,0,1,1,1,1
2023-03-08,297.82000732421875,50876300,298.6839996337891,288.5613983154297,290.09444961547854,No Cross,No Cross,309.0274538769015,288.34054539067665,-0.16706069157615394,0,0,36.45532771596655,45.72656585149313,0,0,0,0,3.453573697704404,5.8311871018152495,0,1,0,1,1,1
2023-03-09,292.6600036621094,71456700,298.09850006103517,289.0673986816406,290.11434967041015,No Cross,No Cross,308.4124176363324,287.78458248573793,-1.0545937291473932,0,0,37.02439993836934,37.0292197418188,0,0,0,0,4.935598323715107,5.93492606024738,1,0,1,1,1,1
2023-03-10,288.54998779296875,98593600,297.4419998168945,289.56679870605467,290.08969955444337,No Cross,No Cross,308.4445583766152,286.4394412571738,-1.6163535009899563,0,0,35.326954257724026,37.82701440497749,0,0,0,0,4.932631734717885,4.15149005625881,1,0,2,1,1,1
2023-03-13,290.69000244140625,97123600,296.99149932861326,290.1785986328125,290.1069496154785,Golden Cross,No Cross,308.33725425365833,285.6457444035682,-1.110811387842835,0,0,45.6029550135031,41.47137088026858,0,0,0,0,6.702023364153963,4.241613935243027,1,1,0,1,1,1
2023-03-14,297.3699951171875,73602500,296.63499908447267,290.7971984863281,290.13749954223636,No Cross,No Cross,307.4216678901832,285.84833027876215,0.13627859461592487,0,0,53.51034534854176,48.31475703365453,0,0,0,0,8.019980652525405,6.85767677781094,1,2,0,1,1,1
2023-03-15,298.92999267578125,83631500,296.2439987182617,291.4501983642578,290.13549957275393,No Cross,No Cross,306.0050296169547,286.4829678195687,0.5503504671579715,0,0,52.42917995325744,45.77325384283335,0,0,0,0,10.795465588210117,7.709410217684131,1,3,0,1,1,1
2023-03-16,306.8099975585937,98198100,296.12949829101564,292.2967980957031,290.1240495300293,No Cross,No Cross,305.29086326196875,286.9681333200625,2.3316392920577793,1,0,66.14155442093315,50.041944590470564,0,0,1,0,11.474529071216978,7.126450192549727,1,4,0,1,1,1
2023-03-17,305.3599853515625,89923700,296.2324981689453,293.0891979980468,290.1094494628906,No Cross,No Cross,305.77182597051467,286.69317036737596,1.913654163580705,0,0,62.49450750518535,47.352011190638855,0,0,0,0,11.61944952127244,4.401553284715687,1,0,1,1,1,1
2023-03-20,305.9700012207031,56359500,296.472998046875,293.9769982910156,290.10929946899415,No Cross,No Cross,306.7494507655362,286.19654532821374,1.848303774430319,0,0,63.509685821260085,52.04035800189458,0,0,0,0,11.881264857873797,4.8520666519747735,0,1,0,1,1,1
2023-03-21,310.3399963378906,49757000,297.2884979248047,294.80779846191405,290.0890994262695,No Cross,No Cross,309.2062037040074,285.37079214560197,2.190270284380036,1,0,69.96242279102609,56.78391075845571,0,0,0,0,11.232358881339488,6.022736202175249,0,2,0,1,1,1
2023-03-22,306.1199951171875,75791900,297.8819976806641,295.51939819335934,290.0886993408203,No Cross,No Cross,310.3329005120528,285.4310948492754,1.3232771226445434,0,0,62.57285871145438,59.335900107883724,0,0,0,0,11.027140472962804,5.035159034758641,1,0,1,1,1,1
2023-03-23,309.75,74576000,298.52849731445315,296.25779846191404,290.1013493347168,No Cross,No Cross,312.0444222784905,285.0125723504158,1.6604860881374526,0,0,60.64256484090372,61.37029946253989,0,0,0,0,13.426989938226818,7.241635912871636,1,1,0,1,1,1
2023-03-24,310.8900146484375,57195200,299.4804977416992,296.9245989990234,290.10644943237304,No Cross,No Cross,313.6806448938901,285.2803505895083,1.6069575595881036,0,0,61.29703622838609,60.5424835704584,0,0,0,0,12.603798312520864,7.4316875995241505,0,2,0,1,1,1
2023-03-27,308.760009765625,50287400,300.2214981079102,297.51879943847655,290.112049407959,No Cross,No Cross,314.7472681323117,285.69572808350864,1.1756363543373127,0,0,63.33761775888934,63.233676403083976,0,0,0,0,11.750887580223413,7.280103820002137,0,0,1,1,1,1
2023-03-28,307.1199951171875,48585900,300.89949798583984,298.04179931640624,290.1506494140625,No Cross,No Cross,315.3818681759609,286.4171277957188,0.8590440721631174,0,0,59.95287813111561,60.38775180344084,0,0,0,0,10.803316576312717,6.33115686932102,0,0,2,1,1,1
2023-03-29,312.7200012207031,53274300,301.9754974365234,298.66539916992184,290.2700494384766,No Cross,No Cross,316.62041209931647,287.3305827737304,1.4673357997062617,0,0,71.26797822100227,63.952800471853124,0,0,0,0,10.82366992903503,6.06769377425328,0,1,0,1,1,1
2023-03-30,315.67999267578125,58354800,303.07899780273436,299.4213989257812,290.4713993835449,No Cross,No Cross,318.3810539575684,287.77694164790034,1.6469675376359354,0,0,79.48268108549824,67.67250609601882,0,0,0,0,12.04339880991877,5.986390594119606,0,2,0,1,1,1
2023-03-31,320.92999267578125,62138100,304.14149780273436,300.33699890136717,290.6964993286133,No Cross,No Cross,321.2894793582938,286.9935162471749,1.9580724202031772,0,0,80.78171382844823,68.9458878783159,0,0,0,0,13.185527975582577,7.22652837013692,0,3,0,1,1,-1
2023-04-03,320.1499938964844,47126800,305.147998046875,301.0863989257812,290.88324935913084,No Cross,No Cross,323.59152377984424,286.70447231390574,1.6268034720489621,0,0,76.3535006549055,65.31954342000145,0,0,0,0,13.891183633132332,7.0091547664895,0,0,1,1,1,-1
2023-04-04,319.07000732421875,45875400,306.2844985961914,301.68859924316405,291.12164932250977,No Cross,No Cross,325.23699364198484,287.3320035503979,1.3492164168501009,0,0,73.56105578983602,64.10066316358714,0,0,0,0,14.961206665472703,7.704064541836009,0,0,2,1,1,-1
2023-04-05,315.9200134277344,62795700,307.1894989013672,302.239599609375,291.3277993774414,No Cross,No Cross,326.16871799526416,288.2102798074702,0.9200077709387526,0,0,61.98369667759399,64.60757501659752,0,0,0,0,14.978621316580865,6.063504688011023,0,0,3,1,1,1
2023-04-06,318.04998779296875,46916500,308.45899810791013,302.8459991455078,291.5126493835449,No Cross,No Cross,326.7295526183554,290.18844359746487,1.0498849041035363,0,0,66.39958857669305,64.94751539181715,0,0,0,0,15.283287455837103,6.17862259864963,0,1,0,1,1,1
2023-04-10,317.8699951171875,45134700,309.9249984741211,303.33659912109374,291.6986492919922,No Cross,No Cross,326.0483881633084,293.80160878493376,0.985524358862889,0,0,65.55149026523827,70.1068577133881,1,0,0,0,15.187197618724845,6.526166191107818,0,0,1,1,1,1
2023-04-11,315.8299865722656,40113600,311.18199768066404,303.7279986572265,291.8535491943359,No Cross,No Cross,324.7008766713695,297.6631186899586,0.6876293359526617,0,0,57.6398432417098,72.50081428838247,1,0,0,0,13.308812779310886,5.064549464960955,0,0,2,1,1,1
2023-04-12,313.0400085449219,62813300,311.96549835205076,304.18339904785154,291.94569931030276,No Cross,No Cross,323.8288762951808,300.1021204089207,0.18114742664729036,0,0,60.029013839070494,68.23895063742255,0,0,0,1,13.19333482909748,3.5614128834982495,0,0,3,1,1,1
2023-04-13,319.1700134277344,54613800,312.9774993896484,304.67439941406246,292.07929931640626,No Cross,No Cross,323.54070717885327,302.41429160044356,1.1724684701203099,0,0,62.7297583748139,67.95126636386988,0,0,0,0,15.045057011999974,5.516398912061572,0,1,0,1,1,-1
2023-04-14,318.57000732421875,56278300,313.5654998779297,305.02739929199214,292.25444931030273,No Cross,No Cross,323.9915263094683,303.1394734463911,0.9600028312129446,0,0,60.53209120128565,66.43240582244249,0,0,0,0,15.045265081980297,5.959017500069241,0,0,1,1,1,1
2023-04-17,318.8399963378906,43007000,314.23950042724607,305.1697991943359,292.42964935302734,No Cross,No Cross,324.16277385174084,304.3162270027513,0.9272133728147842,0,0,64.56647771022543,61.53403661290547,0,0,0,0,13.035786051315569,4.684974517984264,0,1,0,1,1,1
2023-04-18,318.8599853515625,46746900,314.8839996337891,305.42339904785155,292.6225492858887,No Cross,No Cross,324.2017316560793,305.56626761149886,0.8534234958167761,0,0,67.79869453291705,63.30836730862724,0,0,0,0,11.939354005177837,4.749762266938862,0,2,0,1,1,1
2023-04-19,318.7099914550781,38960100,315.30249938964846,305.72579895019527,292.80544921875,No Cross,No Cross,324.5121399247974,306.0928588544995,0.7399837273615262,0,0,60.879059971178364,62.67409792108654,0,0,0,0,11.977474147324152,4.4715576839623905,0,0,1,1,1,1
2023-04-20,316.2799987792969,62462100,315.8104995727539,305.853798828125,292.9520492553711,No Cross,No Cross,323.9456586254345,307.6753405200733,0.11542471474808826,0,0,51.11112618157116,56.14653253738281,0,0,0,0,11.16621962201102,3.3185209258165482,1,0,2,1,1,1
2023-04-21,316.6099853515625,59002300,316.153498840332,306.09859863281247,293.0910992431641,No Cross,No Cross,323.7750115144318,308.53198616623223,0.11978895286279845,0,0,40.217328206503254,61.80509382641427,0,0,0,0,10.305819158435693,3.5314529860667188,0,1,0,1,1,1
2023-04-24,315.95001220703125,44043100,316.40649871826173,306.38399902343747,293.1959492492676,No Cross,No Cross,323.61719801355497,309.1957994229685,-0.12661365910195468,0,0,40.43714328199327,57.477119121892486,0,0,0,0,8.780580265982294,3.546997864366829,0,0,1,1,1,1
2023-04-25,309.989990234375,57121600,316.4679977416992,306.58979858398436,293.2691491699219,No Cross,No Cross,323.42046070213723,309.5155347812612,-1.8635144247977635,0,0,33.08485599608865,49.02762940982525,0,0,0,0,6.783621213973223,1.4609070419917325,0,0,2,1,1,1
2023-04-26,311.8699951171875,55400500,316.7054977416992,306.7371984863281,293.3832991027832,No Cross,No Cross,322.5495747404426,310.86142074295583,-1.6548387796914557,0,0,42.080501268088916,53.37822248506273,0,0,0,0,7.7822693477202165,1.536433069097054,0,1,0,1,1,1
2023-04-27,320.3500061035156,65430400,317.08699798583984,307.0091986083984,293.5538491821289,No Cross,No Cross,322.8309244037696,311.3430715679101,1.1361594422554802,0,0,53.6027909475856,62.511854660562754,0,0,0,0,7.125246133781893,1.32591634249839,1,2,0,1,1,1
2023-04-28,322.5599975585937,59652500,317.43099822998045,307.27839843749996,293.73839920043946,No Cross,No Cross,323.62645697126027,311.2355394887006,1.655728669271618,0,0,56.907230024665715,59.943430102068774,0,0,0,0,5.576701769298009,-0.3669160532463911,1,3,0,1,1,1
2023-05-01,322.19000244140625,41013400,317.4939987182617,307.6561987304687,293.91599914550784,No Cross,No Cross,323.862480245,311.12551719152344,1.474764024494132,0,0,59.8513446951971,56.94180494738652,0,0,0,0,3.1346089695587054,-1.3518844542610653,0,0,1,1,1,1
2023-05-02,319.3800048828125,56519400,317.45549926757815,308.02059875488277,294.0535491943359,No Cross,No Cross,323.7654156112534,311.1455829239029,0.6099940190691728,0,0,59.814248798900266,48.256477363384576,0,0,0,0,5.391720115778565,-0.13785158922279273,1,0,2,1,1,1
2023-05-03,317.2900085449219,59882100,317.36649932861326,308.48579895019526,294.1929992675781,No Cross,No Cross,323.6305789037357,311.10241975349084,-0.024422034482181325,0,0,46.67372913386506,46.87500833633441,0,0,0,0,4.6849925611694765,-0.36784750121940935,1,0,3,1,1,1
