Date,Open,High,Low,Close,Adj Close,Volume,Close_SPY,Close_DIA,Close_IWM,QQQ 1d movement,SPY 1d movement,DIA 1d movement,IWM 1d movement,9ma,20ma,50ma,100ma,200ma,cross,triple cross,Middle_BB,Upper_BB,Lower_BB,Distance_from_Middle,Above_upperbb,Below_lowerbb,RSI_14d,RSI_21d,RSI_Above_70,RSI_Below_30,MACD,Signal_Line,MACD_cross_above,MACD_cross_below,1m_return_diff_QQQ_IWM,1m_return_diff_QQQ_DIA,Future1M_movement_direction,Future2M_movement_direction,Future15d_movement_direction,Future1M_movement,Future2M_movement,Future15d_movement
2023-06-13,363.2900085449219,364.1099853515625,360.0299987792969,363.260009765625,361.3258972167969,57097800,436.6600036621094,342.6199951171875,187.92999267578125,0.007684040074036558,0.006592936721117493,0.004250026767842696,0.011463883686966936,355.17999945746527,345.8709991455078,329.83040100097656,315.08369995117187,297.3965002441406,No Cross,No Cross,345.8709991455078,367.1479782565781,324.59402003443756,1.6345375468334018,0,0,80.22645686509459,78.1641347773009,1,0,9.097327521573447,8.337450306423367,0,0,5.542353218211171,12.083133240987465,1,1,1,3.6778023983929264,2.565648999639092,1.1561915918471
2023-06-14,363.2699890136719,366.1900024414063,360.4200134277344,365.8999938964844,363.9518432617188,69525600,437.1799926757813,340.4200134277344,185.91000366210935,0.007267478004426398,0.0011908327057916779,-0.00642105458176967,-0.010748624979498689,356.7233310275608,347.80799865722656,330.7454010009766,315.91589996337893,297.68880020141603,No Cross,No Cross,347.80799865722656,368.96600909512426,326.64998821932886,1.7101792526628026,0,0,83.98490776293318,78.44362571022728,1,0,9.49693284439553,8.5693468140178,0,0,6.289650464286444,13.511892990638461,1,1,1,4.804596169197328,3.025418832707194,0.09292056396885684
2023-06-15,364.6099853515625,371.7699890136719,363.9800109863281,370.260009765625,368.2886352539063,71138800,442.6000061035156,344.7699890136719,187.44000244140625,0.011915867564551208,0.012397670338390565,0.012778260426397958,0.008229781879180997,358.45777723524304,349.76499938964844,331.7692010498047,316.72890014648436,298.0180502319336,No Cross,No Cross,349.76499938964844,371.65177973209927,327.8782190471976,1.8728209499343478,0,0,82.71207516159338,79.62606118197894,1,0,10.049594316573348,8.86539631452891,0,0,7.926444999127401,13.50393932069418,1,1,-1,3.624475383839365,0.6833032767698421,-1.0533204535189244
2023-06-16,372.7200012207031,372.8500061035156,367.4800109863281,367.9299926757813,365.9710388183594,80875900,439.4599914550781,342.95001220703125,185.94000244140625,-0.0062929212671889445,-0.007094474932526573,-0.005278814469459103,-0.008002560715228868,359.90555487738715,351.2979995727539,332.8094006347656,317.5245001220703,298.35260025024417,No Cross,No Cross,351.2979995727539,373.78653646984094,328.80946267566685,1.4791529728358408,0,0,74.21271475973026,75.88241706270975,1,0,10.182195595966448,9.128756170816418,0,0,7.251208774389273,12.863847010480288,1,1,1,4.038816123978006,1.7068461132035972,0.06523544063572473
2023-06-20,365.9500122070313,368.3200073242188,363.8900146484375,366.8999938964844,365.4471130371094,49204700,437.1799926757813,340.4599914550781,185.1300048828125,-0.0027994422846755462,-0.0051881828235321725,-0.00726059385718858,-0.0043562307623880026,361.2455546061198,352.8174987792969,333.7864007568359,318.3161999511719,298.6907502746582,No Cross,No Cross,352.8174987792969,375.205455661625,330.4295418969688,1.258042008139069,0,0,71.2669311828353,72.45035752570568,1,0,10.087883925393612,9.320581721731857,0,0,7.507919079299552,12.522315182962295,1,1,1,2.0414338720502467,2.8263819268727675,1.6135223565592938
2023-06-21,365.739990234375,366.1799926757813,360.9599914550781,361.8999938964844,360.4669189453125,53378300,434.9400024414063,339.42999267578125,184.6999969482422,-0.01362769169576672,-0.005123725403500368,-0.0030253151769604747,-0.002322734960453876,362.69888644748266,354.0304977416992,334.66700073242185,319.0017999267578,299.0032502746582,No Cross,No Cross,354.0304977416992,375.5687441485434,332.49225133485504,0.7307462275373078,0,0,66.25379864963844,68.07629082531214,0,0,9.500170976364757,9.356499572658437,0,0,5.685573853276592,10.849772105030175,1,1,1,3.285442069346489,2.4620071324615633,4.7665101660471665
2023-06-22,360.6300048828125,366.3299865722656,360.2200012207031,366.1700134277344,364.7200012207031,47603000,436.510009765625,339.3399963378906,183.3300018310547,0.011798893626042473,0.0036097101103735874,-0.0002651396159224495,-0.007417407362336981,364.1455552842882,355.67099914550784,335.6738012695312,319.7008999633789,299.3582502746582,No Cross,No Cross,355.67099914550784,375.5113044187429,335.8306938722728,1.0583520906192803,0,0,66.4498151148486,69.44252765275304,0,0,9.27207639513,9.33961493715275,0,1,8.19722976914079,12.781440029905266,1,1,1,1.6030791440943437,1.226203694929584,3.522952023221948
2023-06-23,362.2099914550781,364.8800048828125,360.8200073242188,362.5400085449219,361.1043701171875,48873900,433.2099914550781,337.1600036621094,180.57000732421875,-0.009913441160382952,-0.007560006040454259,-0.006424213765861442,-0.015054789064909202,365.0388895670573,357.2154998779297,336.66380126953123,320.4236001586914,299.705700378418,No Cross,No Cross,357.2154998779297,373.7094801836666,340.7215195721928,0.6456305352978048,0,0,58.959810809162335,70.06325509643537,1,0,8.698132087042211,9.211318367130641,0,0,7.97082528731592,11.004951502569217,1,1,1,3.4892683837174365,2.0218421138359366,5.5359343337560984
2023-06-26,362.0,364.8399963378906,357.5899963378906,357.67999267578125,356.2635803222656,52685500,431.4400024414063,337.1400146484375,180.75,-0.013405460789408075,-0.0040857529802734716,-5.928643212349538e-05,0.0009968027273659086,364.7266676161024,358.1134994506836,337.4340008544922,321.0542001342773,299.9992503356934,No Cross,No Cross,358.1134994506836,372.40548690549,343.8215119958772,-0.06066430946335121,0,0,52.85772635470252,67.15432255438313,0,0,7.761643034597057,8.921383300623924,0,0,5.213008389984641,8.50749490492353,1,1,1,4.003580747441782,1.9179199311153194,7.845000596393081
2023-06-27,359.25,364.5700073242188,358.510009765625,363.8299865722656,362.3892211914063,49428100,436.1700134277344,339.2300109863281,183.3600006103516,0.01719412330132486,0.010963311143060928,0.0061991939463788,0.014439837401668543,364.7899983723958,358.88499908447267,338.3392004394531,321.68329986572263,300.3158003234863,No Cross,No Cross,358.88499908447267,372.6243861990552,345.1456119698901,0.7198265026748556,0,0,58.21303071160046,66.3015290550166,0,0,7.430072571750259,8.623121154849192,0,0,5.777096935083547,10.127632460613988,1,-1,1,1.1214075915739086,-1.640876629479615,5.997308668752277
